url;Publication;Authors;Institution;Affiliation;Country;Journal;Citations;Date;Year;Application;Materials;Number of classes;Classes;Exploratory data analysis;Preprocessing;Feature selection;Feature selection approach;Spectral input;Classification approaches;Classification;Classifier;Best model;Validation internal;Validation external;Model validation;Software
https://link.springer.com/article/10.1007/s00339-006-3556-6;LIPS and linear correlation analysis applied to the classification of Roman pottery Terra Sigillata;López et al., 2006;Universidade da Coruña;Dpto. Enxeñaría Industrial II, Universidade da Coruña,  Spain;Spain;Applied Physics A;25;09.03.2006;2006;Materials;Ceramics;3;Hispanic, Gaulic, African;Visual inspection;-;-;-;LIBS spectrum:  RawInt (260-340 nm);Correlation;Correlation;Linear correlation;Linear correlation ;-;-;Internal;MATLAB
https://link.springer.com/article/10.1007/s00216-006-0513-3;LIBS for landmine detection and discrimination;Harmon et al., 2006;U.S. Army Research Laboratory;U.S. Army Research Laboratory, United States;United States;Analytical and Bioanalytical Chemistry;56;25.05.2006;2006;Forensics/Explosives;Explosives;2;mine, non-mine;Visual inspection;-;-;-;LIBS spectrum:  RawInt (200-980 nm);Correlation;Correlation;Linear correlation;Linear correlation ;accuracy: 90%;-;Internal;Ocean Optics
https://pubs.rsc.org/en/content/articlelanding/2007/ja/b704868h/unauth;Feasibility study of rock identification at the surface of Mars by remote laser-induced breakdown spectroscopy and three chemometric methods;Sirven et al., 2007;CEA Saclay;CEA Saclay, France;France;Journal of Analytical Atomic Spectrometry;132;20.08.2007;2007;Geological samples;Rocks;6;basalt (ES9206), limestone (RJ3), gabbro (OT9101), trachy-andesite (ES9106), trachyte (ES9101), obsidian (LMG Little Mountain Glass);PCA;NormIS (O: 777.2);-;-;LIBS spectrum:  8421 RawInt (280-1000 nm);SIMCA, PLS-DA;SIMCA;SIMCA+PLS/DA;SIMCA+PLS/DA;sensitivity, robustness: 97%;-;Internal + External;MATLAB
https://www.sciencedirect.com/science/article/abs/pii/S0584854707003527;Double pulse laser-induced breakdown spectroscopy of explosives: Initial study towards improved discrimination;De Lucia et al., 2007;U.S. Army Research Laboratory;U.S. Army Research Laboratory, United States;United States;Spectrochimica Acta Part B: Atomic Spectroscopy;96;22.10.2007;2007;Forensics/Explosives;Explosives;2;explosive (RDX, Comp-B), non-explosive (diesel fuel);Visual inspection;NormArea (C + C2 + CN+ H + N+ O + Ca + Na + K);domain knowledge;Domain k-wledge;Features:  5 IntRatios (O/C, O/H, N/C, N/H, O/N);Ratios, PCA, PLS-DA;PCA;PCA;PCA (PC1 score);-;-;?;?
https://link.springer.com/content/pdf/10.1007/s00339-008-4481-7.pdf;Application of artificial neural networks for the rapid classification of archaeological ceramics by means of laser induced breakdown spectroscopy (LIBS);Ramil et al., 2008;Universidade da Coruña;Dpto. Enxeñaría Industrial II, Universidade da Coruña, Spain;Spain;Applied Physics A;84;01.04.2008;2008;Materials;Ceramics;3;Hispanic, Gaulic, African;Visual inspection;NormArea;-;-;LIBS spectrum:  512 RawInt (260-340 nm);ANN;ANN;ANN;MLP (512,25,3);accuracy: 100%;-;Internal;MATLAB
https://pubmed.ncbi.nlm.nih.gov/19122692/;Multivariate analysis of standoff laser-induced breakdown spectroscopy spectra for classification of explosive-containing residues;De Lucia et al., 2008;U.S. Army Research Laboratory;U.S. Army Research Laboratory, United States;United States;Applied Optics;112;18.08.2008;2008;Forensics/Explosives;Explosives;2;explosive (RDX, Comp-B, TNT), non-explosive;PCA;BckgCorr, Norm;domain knowledge;Domain k-wledge;Features:  20 PeakRatios, 9 PeakAreas (190-840 nm);PLS-DA;PLS-DA;PLS-DA;PLS-DA;accuracy: 80%;-;Internal;MATLAB
https://www.sciencedirect.com/science/article/abs/pii/S0003267009003493;Classification of Brazilian soils by using LIBS and variable selection in the wavelet domain;Pontes et al., 2009;Universidade Federal da Paraíba;Universidade Federal da Paraíba, Brasil;Brasil;Analytica Chimica Acta;110;29.05.2009;2009;Soil;Soil;3;Argissolo, Latossolo, Nitossolo;PCA;NormSNV, WT;GA/SW/SPA;Wrapper-based;Features:  5 (200-990 nm);LDA;LDA;LDA; WT-SPA–LDA;accuracy: 90%;-;Internal;MATLAB
https://www.sciencedirect.com/science/article/abs/pii/S0883292709000596;LIBS analysis of geomaterials: Geochemical fingerprinting for the rapid analysis and discrimination of minerals;Harmon et al., 2009;U.S. Army Research Laboratory;U.S. Army Research Laboratory, United States;United States;Applied Geochemistry;143;01.06.2009;2009;Geological samples;Minerals;7;metals, mixed mineral set, pyroxenes, feldspars, carbonates, beryls, combined mineral group;Visual inspection;-;WghtVar;Weighting;LIBS spectrum:  13500 RawIntWght (200-965 nm);Correlation;Correlation;Maximum correlation;MV-MC;accuracy: 85%;-;Internal;Ocean Optics
https://www.sciencedirect.com/science/article/abs/pii/S0584854709002237;Preliminary evaluation of laser-induced breakdown spectroscopy for tissue classification;Yueh et al., 2009;Mississippi State University;Institute for Clean Energy Technology, Mississippi State University, United States;United States;Spectrochimica Acta Part B: Atomic Spectroscopy;81;01.10.2009;2009;Biological/Life Science;Tissue;6;muscle, kidney, liver, lung, spleen, brain;PCA;NormIS (Ca: 422.6 nm);domain knowledge;Domain k-wledge;Features:  21 PeakAreas (200-780 nm);PLS-DA, ANN;PLS-DA;PLS-DA;PLS-DA ;-;accuracy: 60%;External;MATLAB
https://www.sciencedirect.com/science/article/abs/pii/S0584854709001967;Multivariate analysis of laser-induced breakdown spectroscopy chemical signatures for geomaterial classification;Gottfried et al., 2010;U.S. Army Research Laboratory;U.S. Army Research Laboratory, United States;United States;Spectrochimica Acta Part B: Atomic Spectroscopy;148;06.07.2009;2009;Geological samples;Geomaterials;-;-;?;-;-;?;-;PLS-DA;PLS-DA;PLS-DA;PLS-DA;-;-;?;?
https://journals.sagepub.com/doi/pdf/10.1366/10-06079a;Identification of Polymer Materials Using Laser-Induced Breakdown Spectroscopy Combined with Artificial Neural Networks;Boueri et al., 2010;Université de Lyon;Université de Lyon, France;France;Applied Spectroscopy;96;30.11.2010;2010;Polymers;Polymers;8;polypropylene (PP), polyvinyl chloride (PVC), polytetrafluoroethylene (PTFE), polyoxymethylene (POM), polyethylene (PE), polyamide/nylon (PA), polycarbonate (PC), poly(methyl methacrylate) (PMMA);Visual inspection;NormIS (C: 247.9 nm);domain knowledge, wrapper (ANN);Wrapper-based;Features:  13 PeakInt (C, Mg, Ti, CN, Ca, Na, H, F, Cl, N, K, O);ANN;ANN;ANN;MLP (13,25,8);-;accuracy: 81%;External;?
https://www.sciencedirect.com/science/article/abs/pii/S0142941810001224;Identification of polymers by libs using methods of correlation and normalized coordinates;Lasheras et al., 2010;University of Zaragoza;Laser Laboratory and Environment, Department of Analytical Chemistry, University of Zaragoza, Spain;Spain;Polymer Testing;44;01.12.2010;2010;Polymers;Polymers;9;polyethylene (PE), polypropylene (PP), polystyrene (PS), polyethylene terephthalate (PET), poly-vinyl chloride (PVC), polytetrafluoroethene (PTFE), nylon, cellulose, rubber;Visual inspection;-;-;-;LIBS spectrum:  2048 RawInt (200-850 nm);Correlation (linear, rank, MVC);Correlation;Linear correlation;Linear correlation ;accuracy: 100%;-;Internal;Visual Basic
https://link.springer.com/article/10.1007/s00216-011-4869-7;Characterization and forensic analysis of soil samples using laser-induced breakdown spectroscopy (LIBS);Jantzi et al., 2011;Florida International University;Department of Chemistry and Biochemistry and International Forensic Research Institute, Florida International University, United States;United States;Analytical and Bioanalytical Chemistry;74;02.04.2011;2011;Soil;Soil;5;SE of Florida City,  Sweetwater, Canal C6, Krome North Tower, Homestead Airport ;PCA;BckgCorr,  NormIS (Sc: 361.4 nm);filter (discriminative power);Filter-based ;Features:  5 IntRatios (Sr/Ti, Ba/Mg, Ca/Mg, Fe/Mg, Li/Mg);ANOVA, LDA, PCA;LDA;LDA;LDA;accuracy: 99%;-;Internal;Systat
https://link.springer.com/article/10.1007/s00216-011-4898-2;Laser-induced breakdown spectroscopy for polymer identification;Grégoire et al., 2011;Mnistry of Culture France;Laboratoire de Recherche des Monuments Historiques, Mnistry of Culture, France;France;Analytical and Bioanalytical Chemistry;89;05.04.2011;2011;Polymers;Polymers;14;polyethylene (PE), polypropylene (PP), polyoxymethylene, (POM), polyvinyl chloride (PVC), polytetrafluoroethylene (PTF), polyoxyethylene (POE), polyamide (PA), poly(butylene terephthalate) (PBT), acrylonitrile–butadiene–styrene (PBS), polystyrene (PS), polycarbonate (PC);Visual inspection + PCA;-;domain knowledge;Domain k-wledge;Features:  6 PeakInt (200-975 nm);Ratios, PCA, PLS-DA;PLS-DA;PLS-DA;PLS-DA ;-;-;Internal;Unscrambler
